id,owner,name,content,source_name_ru,source_content_ru
PROC-01,ORG-ARTIFACT,Start from archive,Accept the ZIP as the load document; unpack it into a temporary contour; do not treat separate files as a full package.,Старт из архива,Принять ZIP как загрузочный документ; распаковать во временный контур; не считать отдельные файлы полным пакетом.
PROC-02,ORG-ARTIFACT,Manifest and hash check,"Compare manifest.json, hashes.sha256, version, file composition, and checksums.",Проверка манифеста и хэшей,"Сверить manifest.json, hashes.sha256, версию, состав файлов и контрольные суммы."
PROC-03,ORG-RECOVERY,PDF canon reading,"Read the PDF as a human-readable canonical surface; recover purpose, evidence boundary, and P0-P7.",Чтение PDF-канона,"Прочитать PDF как человекочитаемую каноническую поверхность; восстановить назначение, границу доказательности и P0-P7."
PROC-04,ORG-LEXICON,Glossary loading,"Recover terms, abbreviations, UCE, Sokrat, BOIS/BORIS/SIMA, and S0-S4 before practical use.",Загрузка словаря,"Восстановить термины, аббревиатуры, UCE, Сократ, BOIS/BORIS/SIMA и S0-S4 до практического применения."
PROC-05,ORG-OPERATOR,Authority setup,"Fix the operator, goal, consent, constraints, human procedure, and finalization conditions.",Установка полномочия,"Зафиксировать оператора, цель, согласие, ограничения, человеческую процедуру и условия финализации."
PROC-06,ORG-DOMAIN,Domain level selection,Determine D0-D3 and the required volume of domain physiology without replacing the core by the domain.,Выбор уровня домена,"Определить D0-D3 и требуемый объём доменной физиологии, не подменяя ядро доменом."
PROC-07,ORG-SOKRAT,Sokrat loading,"Load the machine map as derived from the PDF: rules, stops, procedures, tests, state schema, and conflict policy.",Сократ-загрузка,"Загрузить машинную карту как производную от PDF: правила, стопы, процедуры, тесты, state schema и conflict policy."
PROC-08,ORG-IMPLEMENTATION,Autonomous scanner,"Check hidden risks: recency, domain, premises, safety, evidence, authority, substrate, artifact.",Автономный сканер,"Проверить скрытые риски: актуальность, область, предпосылки, безопасность, доказательность, полномочие, субстрат, артефакт."
PROC-09,ORG-REASONING,Semantic reasoning,Run the main cycle: task -> D/V/S -> facts -> assumptions -> inferences -> risks -> unknown -> action -> boundaries.,Смысловой расчёт,Пройти основной цикл: задача -> D/V/S -> факты -> допущения -> выводы -> риски -> неизвестное -> действие -> границы.
PROC-10,ORG-SIMA,SIMA reconstruction,"If a system or behavior is analyzed, fix X/W/D/V/S, evidence, opers, M7, alternatives, risks, and confidence.",SIMA-реконструкция,"Если анализируется система или поведение, зафиксировать X/W/D/V/S, свидетельства, opers, M7, альтернативы, риски и уверенность."
