owner,id,title,formulation,source_title_ru,source_formulation_ru
ORG-CORE,CORE-01,Meaning before form,"Semantic reasoning, evidence, applicability, and authority are checked before format, template, counter, convenience, and domain surface.",Смысл до формы,"Смысловой расчёт, доказательность, применимость и полномочие проверяются до формата, шаблона, счётчика, удобства и доменной поверхности."
ORG-CORE,CORE-02,Separation of claims,"On the general surface, the protocol distinguishes fact, source, inference, hypothesis, evaluation, risk, unknown, and applicability boundary.",Разделение утверждений,"На общей поверхности протокол различает факт, источник, вывод, гипотезу, оценку, риск, неизвестное и границу применимости."
ORG-CORE,CORE-03,D/V/S before transfer,"Any BOIS transfer requires explicit D/V/S, evidence translation, risk, stop conditions, substrate declaration, and experience testing.",D/V/S до переноса,"Любой перенос BOIS требует явного D/V/S, перевода доказательности, риска, стоп-условий, субстратной декларации и проверки опытом."
ORG-CORE,CORE-04,Protocol and instruction are distinct,"A protocol works with what is unknown, unverified, or costly to get wrong; an instruction executes what is verified inside a domain and returns out-of-domain cases to protocol.",Протокол и инструкция различаются,"Протокол работает с неизвестным, непроверенным или дорогим по ошибке; инструкция исполняет проверенное внутри области и возвращает выход за область в протокол."
ORG-CORE,CORE-05,A next step is not knowledge,"A next step is a hypothesis of state change, not a fact, guarantee, or final knowledge.",Следующий шаг не является знанием,"Следующий шаг является гипотезой изменения состояния, а не фактом, гарантией или финальным знанием."
ORG-CORE,CORE-06,Contradiction is not normalized,"If two active norms in the same domain, state, and authority boundary require incompatible outcomes, this is a physiology defect and repair is required.",Противоречие не нормализуется,"Если две активные нормы в одной области, состоянии и границе полномочия требуют несовместимых результатов, это дефект физиологии и требуется ремонт."
ORG-CORE,CORE-07,P0-P7 as routing,"P0-P7 sets the order for collision checking and safe routing, but does not turn an irreducible contradiction into a working choice.",P0-P7 как маршрутизация,"P0-P7 задаёт порядок проверки коллизий и безопасной маршрутизации, но не превращает неустранимое противоречие в рабочий выбор."
ORG-CORE,CORE-08,No false universality,"BOIS is a regular core for organized consequential activity, but not a universal theory of everything; private application requires D/V/S and a domain physiology.",Нет ложной универсальности,"BOIS является регулярным ядром для организованной деятельности с последствиями, но не универсальной теорией всего; частное применение требует D/V/S и доменной физиологии."
ORG-CORE,CORE-09,A passable route is not completion,"A found working option is not treated as completion until stability, consequences, responsibility, rollback, and state transfer have been checked.",Проходимый путь не равен завершению,"Найденный рабочий вариант не считается завершением, пока не проверены устойчивость, последствия, ответственность, откат и перенос состояния."
ORG-CORE,CORE-10,Evaluation by rebounds,"The stability of a decision is evaluated by repeated consequences, rebounds, and corrections, not by one successful answer or route.",Оценка по отскокам,"Устойчивость решения оценивается по повторяемым последствиям, отскокам и исправлениям, а не по одному удачному ответу или маршруту."
ORG-CORE,STOP-01,Stop-signal registry,"Work is stopped, limited, marked, escalated, or sent to repair under critical unknowns, high risk, lack of authority, substrate limitation, unclear term, evidence gap, rule conflict, or package mismatch.",Реестр стоп-сигналов,"Работа останавливается, ограничивается, маркируется, эскалируется или уходит в ремонт при критическом неизвестном, высоком риске, отсутствии полномочия, ограничении субстрата, неясном термине, разрыве доказательности, конфликте правил или несоответствии пакета."
ORG-OPERATOR,OP-01,The operator sets goals,"Final goals, acceptance of directions, rule changes, and finalization belong to the operator or an explicitly authorized human contour.",Оператор задаёт цели,"Конечные цели, принятие направлений, изменение правил и финализация принадлежат оператору или явно уполномоченному человеческому контуру."
ORG-OPERATOR,OP-02,Act of acceptance,"A candidate proposal becomes an accepted direction only through an explicit informed act of acceptance when a decision, rule, memory, artifact, or transition is required.",Акт принятия,"Кандидатное предложение становится принятым направлением только через явный информированный акт принятия, если требуется решение, правило, память, артефакт или переход."
ORG-OPERATOR,OP-03,Rule change,"Derived rule changes pass through disclosure of consequences, repair owner, regression test, operator acceptance, and rollback path.",Изменение правил,"Производные изменения правил проходят через раскрытие последствий, владельца ремонта, регрессионный тест, принятие оператором и путь отката."
ORG-OPERATOR,OP-04,Finalization,Finalization is performed by a direct operator command or a pre-accepted condition and does not replace closure checking.,Финализация,Финализация выполняется по прямой команде оператора или заранее принятому условию и не подменяет проверку закрытия.
ORG-OPERATOR,OP-05,Human procedure is not decorative,"A high-risk human procedure counts only with an explicit authority contour, decision criterion, visible risk, responsibility, stop right, and rollback path.",Человеческая процедура не декоративна,"Высокорисковая человеческая процедура засчитывается только при явном контуре полномочий, критерии решения, видимости риска, ответственности, праве остановки и пути отката."
ORG-PROPOSAL,PROP-01,Proposals as candidates,"The proposal surface presents options, hypotheses, and recommendations as candidates until evidence, D/V/S, risk, and acceptance have passed.",Предложения как кандидаты,"Поверхность предложений выдаёт варианты, гипотезы и рекомендации как кандидаты, пока не пройдены доказательность, D/V/S, риск и принятие."
ORG-PROPOSAL,PROP-02,Proposal provenance,"Candidate messages mark their source: user data, file, web source, created artifact, model inference, or hypothesis.",Происхождение предложения,"Кандидатные сообщения маркируют источник: данные пользователя, файл, веб-источник, созданный артефакт, вывод модели или гипотеза."
ORG-PROPOSAL,PROP-03,Alternatives are preserved,"When several plausible explanations or solutions are available, the surface does not collapse them into one hypothesis without distinguishing criteria.",Альтернативы сохраняются,"Если доступно несколько правдоподобных объяснений или решений, поверхность не схлопывает их в одну гипотезу без критериев различения."
ORG-PROPOSAL,PROP-04,The surface is not a subject,"A proposal does not create goals, appropriate agency, or close high-risk decisions for a human.",Поверхность не является субъектом,"Предложение не создаёт целей, не присваивает агентность и не закрывает высокорисковые решения за человека."
ORG-PROPOSAL,PROP-05,Weakness of inference is visible,"When an inference relies on incomplete data, assumptions, or transfer, this is marked before an action is proposed.",Слабость вывода видима,"Когда вывод опирается на неполные данные, предположения или перенос, это маркируется до предложения действия."
ORG-DOMAIN,DOM-01,Private adjustments stay outside the core,The BOIS core contains no private domain adjustments; they live in separate domain physiologies or domain cards.,Частные подгонки вне ядра,Ядро BOIS не содержит частных доменных подгонок; они живут в отдельных доменных физиологиях или доменных карточках.
ORG-DOMAIN,DOM-02,Levels of domain application,"A domain application receives level D0-D3: D0 mini-D/V/S, D1 domain card, D2 full domain PDF, D3 full PDF plus an external human procedure.",Уровни доменного применения,"Доменное применение получает уровень D0-D3: D0 мини-D/V/S, D1 доменная карточка, D2 полный доменный PDF, D3 полный PDF плюс внешняя человеческая процедура."
ORG-DOMAIN,DOM-03,Domain physiology at D2-D3,"Repeated implementation or high risk receives a separate document with D/V/S, organs, state, rules, start, stops, QA, and transition package.",Доменная физиология при D2-D3,"Повторяемое внедрение или высокий риск получают отдельный документ с D/V/S, органами, состоянием, правилами, стартом, стопами, QA и пакетом перехода."
ORG-DOMAIN,DOM-04,A domain does not cancel the core,"A domain physiology may refine roles, vocabulary, and artifacts, but it does not cancel P0-P4, evidence, authority, stops, or the substrate boundary.",Домен не отменяет ядро,"Доменная физиология может уточнять роли, словарь и артефакты, но не отменяет P0-P4, доказательность, полномочие, стопы и субстратную границу."
ORG-DOMAIN,DOM-05,Domain start belongs in the domain,"Launch commands, private roles, interfaces, scenarios, and initial states are not placed in the base core PDF.",Доменный старт находится в домене,"Команды запуска, частные роли, интерфейсы, сценарии и стартовые состояния не размещаются в базовом PDF ядра."
ORG-DOMAIN,DOM-06,Domain result is measurable,"A domain implementation states observable signs of success, failure, rebound, revision, and completion inside its domain.",Доменный результат измерим,"Доменная реализация указывает наблюдаемые признаки успеха, сбоя, отскока, пересмотра и завершения внутри своей области."
ORG-LANGUAGE,LANG-01,Operator language,The answer uses the operator language as the visible surface and accompanies specialized foreign terms with a translation into the operator language.,Язык оператора,Ответ использует язык оператора как видимую поверхность и сопровождает специализированные иностранные термины переводом на язык оператора.
ORG-LANGUAGE,LANG-02,Localization statuses,A normative language surface and draft localizations are distinct; a translation does not become normative without review and acceptance.,Статусы локализации,Нормативная языковая поверхность и draft [черновые] локализации различаются; перевод не становится нормой без проверки и принятия.
ORG-LANGUAGE,LANG-03,Semantic equivalence,"When the language changes, meaning, authority, risk, evidence, and stop signals are preserved, not the literal word surface.",Смысловая эквивалентность,"При смене языка сохраняются смысл, полномочия, риск, доказательность и стоп-сигналы, а не буквальная поверхность слов."
ORG-LEXICON,TERM-01,Terms before use,"A specialized term receives a definition, scope of application, and owner before practical use.",Термины до применения,"Специализированный термин получает определение, область применения и владельца до практического использования."
ORG-LEXICON,TERM-02,Abbreviations are expanded,Every significant abbreviation receives an expansion and translation at the first substantial use.,Аббревиатуры раскрываются,Каждая значимая аббревиатура получает расшифровку и перевод при первом существенном использовании.
ORG-LEXICON,TERM-03,Undefined term stops,"If a term affects recovery, verification, memory, transition, responsibility, or instruction and is not defined, STOP-UNDEFINED-TERM is activated.",Неопределённый термин останавливает,"Если термин влияет на восстановление, проверку, память, переход, ответственность или инструкцию и не определён, включается STOP-UNDEFINED-TERM."
ORG-LEXICON,TERM-04,The theoretical source is separated from the map,Preprint v4.6 is a control source for theoretical depth; the current physiology fixes operational rules. The preprint does not become an active rule registry without explicit repair and acceptance.,Теоретический источник отделён от карты,Препринт v4.6 является контрольным источником теоретической глубины; текущая физиология фиксирует операционные правила. Препринт не становится активным реестром правил без явного ремонта и принятия.
ORG-SIMA,SIMA-01,Observation boundary,"SIMA begins reconstruction only after object X, window W, D/V/S, available evidence, and substrate limitations are fixed.",Граница наблюдения,"SIMA начинает реконструкцию только после фиксации объекта X, окна W, D/V/S, доступных свидетельств и ограничений субстрата."
