repair_id	finding_id	action	evidence_ref	status	rollback
R-223-001	F-222-001	Four schemas contained string-valued property schemas and six unescaped $ref spaces. Schemas normalized to valid Draft 2020-12 shapes; references URI-escaped.	assurance/VALIDATION_RECEIPT.json#checks/SCHEMA_META_VALIDITY	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-002	F-222-002	153 declared references did not resolve. Missing historical projections restored; ambiguous node and test selectors made exact.	assurance/VALIDATION_RECEIPT.json#checks/REFERENCE_INDEX_ROWS	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-003	F-222-003	Validation specification and receipt schema described different check sets. One check catalog now drives both specification and receipt schema.	assurance/VALIDATION_RECEIPT.json#checks/VALIDATION_CONTRACT_IDENTITY	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-004	F-222-004	Bindings used underscore or obsolete aliases absent from registry. Bindings point to canonical test identifiers.	assurance/VALIDATION_RECEIPT.json#checks/TEST_BINDING_CLOSURE	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-005	F-222-005	Core was substrate-aware but package lacked a complete runtime declaration for this target. Canonical runtime profile and machine projection added.	assurance/VALIDATION_RECEIPT.json#checks/RUNTIME_PROFILE_COMPLETE	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-006	F-222-006	Axiom, postulate, condition, theorem, norm and hypothesis remained distributed. Foundation classification and dependency DAG added without changing normative formulations.	assurance/VALIDATION_RECEIPT.json#checks/FOUNDATION_DEPENDENCY_ACYCLIC	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-007	F-222-007	Relevant dialogue history was available but not represented as bounded evidence. BOIS-only milestone projection and theory/practice map added.	assurance/VALIDATION_RECEIPT.json#checks/PROVENANCE_BOUNDARY	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-008	F-222-008	Prior package required split transport. Single passive-data archive envelope introduced while retaining normative v2.22 identity.	assurance/VALIDATION_RECEIPT.json#checks/SINGLE_ARCHIVE_TRANSPORT	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-009	F-222-009	1,392 declarative tests were marked NOT_RUN. Static contract runner executed all registry entries and emitted per-test evidence.	assurance/VALIDATION_RECEIPT.json#checks/FULL_STATIC_TEST_EXECUTION	CLOSED_VALIDATED	Restore v2.22 derived projection; normative PDFs remain unchanged.
R-223-010	F-222-010	Replace nonexistent profile PDF destinations with exact JSON profile pointers without changing any normative formulation.	assurance/VALIDATION_RECEIPT.json#checks/JUSTIFICATION_GRAPH_CLOSURE	CLOSED_VALIDATED	Restore the v2.22 graph; normative PDFs remain unchanged.
R-223-011	F-222-011	Add nine historical finding migration rows in a dedicated passive TSV projection.	assurance/VALIDATION_RECEIPT.json#checks/PACKAGE_WIDE_REFERENCE_CLOSURE	CLOSED_VALIDATED	Remove the added migration projection; normative PDFs remain unchanged.
R-223-012	F-222-012	Type CHECK-F identifiers as CHECK_ID selectors against the validation specification.	assurance/VALIDATION_RECEIPT.json#checks/REFERENCE_INDEX_ROWS	CLOSED_VALIDATED	Restore the earlier generated reference index; normative PDFs remain unchanged.
