reference_id	source_file	reference_kind	target_file	target_selector	selector_type	status
REF-0016be43852ec94f84	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-019-POS	TEST_ID	RESOLVES
REF-0020303e86256aa49e	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-069-NEG	TEST_ID	RESOLVES
REF-0020c5a4691fae48ea	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o016-10&page=117&norm_id=N-O016-10	PDF_SECTION	RESOLVES
REF-00313ad02fd481ae7b	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-041-POS	TEST_ID	RESOLVES
REF-00392082a280aa6138	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	02_Temnik_Personal_Layer_v2.22_EN.pdf	section_id=t-n-016&page=9&norm_id=T-N-016	PDF_SECTION	RESOLVES
REF-003ba46a9633604841	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-F-221-003-REGRESSION	TEST_ID	RESOLVES
REF-00422d16b6036fb022	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o012-01&page=98&norm_id=N-O012-01	PDF_SECTION	RESOLVES
REF-00494690a24de5d4ad	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-OBJECT-RULEACCEPTANCEMATRIX-BEHAVIOR	TEST_ID	RESOLVES
REF-004fcf3697ebc807c0	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O022-03	TSV_PRIMARY_KEY	RESOLVES
REF-007f619ac075021025	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	02_Temnik_Personal_Layer_v2.22_EN.pdf	section_id=t-n-022&page=12&norm_id=T-N-022	PDF_SECTION	RESOLVES
REF-008e134e0303fabd11	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O020-07	TEST_ID	RESOLVES
REF-00d7baf536bff003c3	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O007-04-POS	TEST_ID	RESOLVES
REF-00ddd587b9ae1fa477	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O026-03-NEG	TEST_ID	RESOLVES
REF-0100d878d157407029	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-OBJECT-RISK-STRUCTURE	TEST_ID	RESOLVES
REF-0107c99b38f6d2302f	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-GEN-005	NODE_ID	RESOLVES
REF-010ecb5fc483954841	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	migration/MIGRATION_v2.20_to_v2.22.tsv	MIG-F-219-007	MIGRATION_ID	RESOLVES
REF-011edf713114a02783	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-004-POS	TEST_ID	RESOLVES
REF-012911c4a0af9ea326	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O015-05-POS	TEST_ID	RESOLVES
REF-012c2347a1b1b17107	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-O022-05	NODE_ID	RESOLVES
REF-01393e9161e900e67e	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-060-NEG	TEST_ID	RESOLVES
REF-013e7439ab019ea163	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-GEN-062	TSV_PRIMARY_KEY	RESOLVES
REF-015554b63ce5df0100	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-O011-01	NODE_ID	RESOLVES
REF-015c6cd6496be91f25	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O017-05-NEG	TEST_ID	RESOLVES
REF-01749b6bd8f2c1d1b3	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-F-220-012-CLOSURE	TEST_ID	RESOLVES
