id,owner,term,definition,source_term_ru,source_definition_ru
TERMDEF-BOIS,ORG-LEXICON,Business Operational Intelligence System [бизнес-операционная интеллектуальная система],"Regular transition grammar for organized consequential activity under incomplete knowledge. It is not a universal theory of everything, a private domain profile, or field validation.",BOIS,"Регулярная грамматика перехода для organized consequential activity [организованной деятельности с последствиями] при неполном знании. Не является универсальной теорией всего, частным доменным профилем или полевой валидацией."
TERMDEF-BUSINESS,ORG-LEXICON,organized consequential activity [организованная деятельность с последствиями],"Internal broad meaning of business: structured activity with aims, roles, memory, costs, feedback, responsibility, and repair. It is not limited to a commercial firm and is not stretched to everything without D/V/S.",Business в BOIS/BORIS,"Внутренний широкий смысл слова business: структурированное дело с целями, ролями, памятью, стоимостью, обратной связью, ответственностью и ремонтом. Не сводится к коммерческой фирме и не растягивается на всё без D/V/S."
TERMDEF-SIMA,ORG-LEXICON,Substrate-Independent Machine Analyzer [субстрато-независимый машинный анализатор],Analytical layer that reconstructs candidate philosophical machines from observed substrate physiology. SIMA is not the core and does not prove empirical validity of BOIS.,SIMA,"Аналитический слой, восстанавливающий кандидатные философские машины по наблюдаемой субстратной физиологии. SIMA не является ядром и не доказывает эмпирическую валидность BOIS."
TERMDEF-BORIS,ORG-LEXICON,Rational Operational-Intelligence System of Business [рациональная операционно-интеллектуальная система бизнеса],Implementation layer of BOIS: turns BOIS grammar into a narrow domain physiology tested by experience. BORIS is not a second core.,BORIS,"Внедряющий слой BOIS: превращает грамматику BOIS в узкую доменную физиологию, проверяемую опытом. BORIS не является вторым ядром."
TERMDEF-SOKRAT,ORG-LEXICON,Sokrat rule programming [правиловое программирование Сократ],"Engineering approach to rule-based programming of universal computing environments through declared rules, state, organs, stops, procedures, and QA.",Сократ,"Инженерный подход к программированию универсальных вычисляющих сред через загружаемые или внедряемые правила, термины, стопы, процедуры, тесты, владельцев, D/V/S, состояние и пакеты перехода. Не является наукой, картиной мира, субъектом или доказательством истины."
TERMDEF-PHILOSOPHICAL-MACHINE,ORG-LEXICON,Philosophical machine [философская машина],"Inspectable architecture of inquiry and action: it specifies ontology, evidence, agency, value interface, risk model, closure rule, and transition rule.",Философская машина,"Проверяемая архитектура исследования и действия: она задаёт онтологию, доказательность, агентность, ценностный интерфейс, модель риска, правило закрытия и правило перехода."
TERMDEF-CALCULATION,ORG-LEXICON,Calculation [расчёт],"Reproducible transformation of distinguishable states through operations, constraints, memory/trace, cost, and feedback. Calculation may be digital, biological, institutional, or hybrid; it is not only arithmetic and does not require consciousness.",Расчёт,"Воспроизводимое преобразование различимых состояний через операции, ограничения, память/след, стоимость и обратную связь. Расчёт может быть цифровым, биологическим, институциональным или гибридным; он не равен только арифметике и не требует сознания."
TERMDEF-COMPUTING-ENV,ORG-LEXICON,Computing environment [вычисляющая среда],"A substrate or set of substrates with states, channels, permitted operations, memory/trace, cost, errors, and feedback mechanisms, capable of executing calculation.",Вычисляющая среда,"Субстрат или совокупность субстратов с состояниями, каналами, допустимыми операциями, памятью/следом, стоимостью, ошибками и механизмами обратной связи, способная исполнять расчёт."
TERMDEF-UCE,ORG-LEXICON,"Universal Computing Environment, UCE [универсальная вычисляющая среда]",A substrate or environment capable of executing several architectures of inquiry and action under declared limitations.,Универсальная вычисляющая среда,"Вычисляющая среда с достаточной выразительной ёмкостью для настройки и исполнения нескольких различных архитектур исследования и действия, включая M=<O,E,A,V,R,C,T>. Универсальность относительна объявленному классу машин и ограничениям субстрата; это не означает способность вычислять всё и не означает, что среда обязательно является ИИ."
TERMDEF-DVS,ORG-LEXICON,Domain / Value interface / Substrate [область / ценностный интерфейс / субстрат],"Declaration of domain, external value interface, and substrate before analysis, transfer, or implementation.",D/V/S,"Трёхчастная рамка применимости: где действует система; какие цели, ограничения, риск и запрещённые потери допустимы; на чём машина исполняется, доказывается и искажается."
