finding_id	affected_file	affected_selector	before_value	after_value	migration_entry_id	implementation_evidence_ref	regression_test_id	closure_test_id	status
F-221-001	NORM_CATALOG	DECLARED_IN_FINDING_SCOPE	C00 and C01 lacked normative phase coverage	Rule-level phase audit; explicit C00/C01 and ALL_PHASES coverage.	MIG-222-FINDING-001	repair/FINDINGS_v2.21.tsv#finding_id=F-221-001	TEST-F-221-001-REGRESSION	TEST-F-221-001-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-002	Base PDF	DECLARED_IN_FINDING_SCOPE	Bootstrap lacked complete source precedence and companion identity	Added exact precedence, companion names, hash behavior, and reference-only status.	MIG-222-FINDING-002	repair/FINDINGS_v2.21.tsv#finding_id=F-221-002	TEST-F-221-002-REGRESSION	TEST-F-221-002-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-003	Base PDF	DECLARED_IN_FINDING_SCOPE	Branching statement was ambiguous	Separated release-lineage branching from intra-cycle branching.	MIG-222-FINDING-003	repair/FINDINGS_v2.21.tsv#finding_id=F-221-003	TEST-F-221-003-REGRESSION	TEST-F-221-003-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-004	N-O025-05	DECLARED_IN_FINDING_SCOPE	Executable surface terminology was ambiguous	Changed to machine-interpretable declarative execution surface and stated no program code.	MIG-222-FINDING-004	repair/FINDINGS_v2.21.tsv#finding_id=F-221-004	TEST-F-221-004-REGRESSION	TEST-F-221-004-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-005	Base PDF	DECLARED_IN_FINDING_SCOPE	Oper, Operature, Operome, and InterfaceMachine were not closed in PDF terminology	Added canonical definitions and named destinations.	MIG-222-FINDING-005	repair/FINDINGS_v2.21.tsv#finding_id=F-221-005	TEST-F-221-005-REGRESSION	TEST-F-221-005-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-006	Base PDF	DECLARED_IN_FINDING_SCOPE	Base/Personal PDF precedence was implicit	Added explicit layer precedence and conflict contract.	MIG-222-FINDING-006	repair/FINDINGS_v2.21.tsv#finding_id=F-221-006	TEST-F-221-006-REGRESSION	TEST-F-221-006-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-007	Base PDF	DECLARED_IN_FINDING_SCOPE	Single Base PDF could be mistaken for a complete boot package	Added REFERENCE_ONLY and STOP-PACKAGE-INCOMPLETE when loaded alone.	MIG-222-FINDING-007	repair/FINDINGS_v2.21.tsv#finding_id=F-221-007	TEST-F-221-007-REGRESSION	TEST-F-221-007-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-008	All PDFs	DECLARED_IN_FINDING_SCOPE	PDF accessibility and font embedding incomplete	Embedded fonts and kept 9 pt minimum; PDF/UA remains not claimed.	MIG-222-FINDING-008	repair/FINDINGS_v2.21.tsv#finding_id=F-221-008	TEST-F-221-008-REGRESSION	TEST-F-221-008-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-221-009	Transport packaging	DECLARED_IN_FINDING_SCOPE	Full v2.21 transport was blocked by current substrate	Split one release into boot package and assurance companion; transport acceptance remains unproven.	MIG-222-FINDING-009	repair/FINDINGS_v2.21.tsv#finding_id=F-221-009	TEST-F-221-009-REGRESSION	TEST-F-221-009-CLOSURE	IMPLEMENTED_PENDING_VALIDATION
F-219-001	HISTORICAL_ASSURANCE	finding_id=F-219-001	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-001	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-001	CHECK-F-219-001	CHECK-F-219-001	CLOSED_VALIDATED
F-219-002	HISTORICAL_ASSURANCE	finding_id=F-219-002	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-002	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-002	CHECK-F-219-002	CHECK-F-219-002	CLOSED_VALIDATED
F-219-003	HISTORICAL_ASSURANCE	finding_id=F-219-003	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-003	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-003	CHECK-F-219-003	CHECK-F-219-003	CLOSED_VALIDATED
F-219-004	HISTORICAL_ASSURANCE	finding_id=F-219-004	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-004	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-004	CHECK-F-219-004	CHECK-F-219-004	CLOSED_VALIDATED
F-219-005	HISTORICAL_ASSURANCE	finding_id=F-219-005	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-005	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-005	CHECK-F-219-005	CHECK-F-219-005	CLOSED_VALIDATED
F-219-006	HISTORICAL_ASSURANCE	finding_id=F-219-006	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-006	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-006	CHECK-F-219-006	CHECK-F-219-006	CLOSED_VALIDATED
F-219-007	HISTORICAL_ASSURANCE	finding_id=F-219-007	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-007	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-007	CHECK-F-219-007	CHECK-F-219-007	CLOSED_VALIDATED
F-219-008	HISTORICAL_ASSURANCE	finding_id=F-219-008	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-008	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-008	CHECK-F-219-008	CHECK-F-219-008	CLOSED_VALIDATED
F-219-009	HISTORICAL_ASSURANCE	finding_id=F-219-009	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-009	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-009	CHECK-F-219-009	CHECK-F-219-009	CLOSED_VALIDATED
F-219-010	HISTORICAL_ASSURANCE	finding_id=F-219-010	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-010	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-010	CHECK-F-219-010	CHECK-F-219-010	CLOSED_VALIDATED
F-219-011	HISTORICAL_ASSURANCE	finding_id=F-219-011	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-011	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-011	CHECK-F-219-011	CHECK-F-219-011	CLOSED_VALIDATED
F-219-012	HISTORICAL_ASSURANCE	finding_id=F-219-012	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-012	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-012	CHECK-F-219-012	CHECK-F-219-012	CLOSED_VALIDATED
F-219-013	HISTORICAL_ASSURANCE	finding_id=F-219-013	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-013	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-013	CHECK-F-219-013	CHECK-F-219-013	CLOSED_VALIDATED
F-219-014	HISTORICAL_ASSURANCE	finding_id=F-219-014	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-014	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-014	CHECK-F-219-014	CHECK-F-219-014	CLOSED_VALIDATED
