norm_id	layer	card_status	candidate_kind	acceptance_status	available_for_evaluation	available_for_application	operator_activation_required	title	formulation	owner	scope	profile_id	norm_type	semantic_target	predicate	trigger	when	modality	execution_mode	operation	desired_value	forbidden_value	exceptions	priority	evidence_requirements	hold	stop	target_state	target_transition	success_criterion	forbidden_state	boundary_conditions	foundations	derivation_refs	tests	principles	required_phase	defect_signal	repair_path	closure_criterion	last_semantic_change_version	last_formulation_change_version	last_machine_semantics_change_version	predecessor_ref	formulation_sha256	semantic_payload_sha256	structural_card_sha256
N-GEN-001	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Distinction between object and representation	A phenomenon, signal, artifact, carrier, representation, transformation, interpretation, model, and explanation retain distinct identities and connect only through explicit typed relations.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	EVIDENCE	INVARIANT	epistemic.claim	epistemic.status	"[""*""]"	"{""op"":""fact"",""path"":""violation.N-GEN-001"",""equals"":true}"	MUST_NOT	KERNEL_COMPUTED	PROHIBIT		VIOLATED	[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""MISSING_EVIDENCE"",""UNRESOLVED_COUNTEREVIDENCE""]"	"[""EVIDENCE_FABRICATION""]"	DECLARED_CONFORMING_STATE	PROHIBIT	epistemic.status::DECLARED_CONFORMING_STATE	VIOLATED	"{""exceptions"":[],""hold"":[""MISSING_EVIDENCE"",""UNRESOLVED_COUNTEREVIDENCE""],""stop"":[""EVIDENCE_FABRICATION""]}"	"[""C0"",""E0"",""I0""]"	"[""DER-JUST-N-GEN-001""]"	"[""TC-N-GEN-001-NEG"",""TC-N-GEN-001-POS"",""TC-POSITIVE-FORMULATION-N-GEN-001""]"	"[""CP-04""]"	C03|C05|C06|C07|C08	Source, provenance, scope, counterevidence, alternatives, or confidence boundary is incomplete.	"[""REBUILD_PROVENANCE"",""ADD_COUNTEREVIDENCE_CHECK"",""LOWER_CONFIDENCE"",""REOPEN_HYPOTHESIS""]"	The claim status, evidence, counterevidence, scope, and review conditions are recorded.	2.22	UNKNOWN_PRE_V2.18	2.22	v2.21:N-GEN-001	ce0d2996525e2f6ced8ce2900dbd80ef0e6c25cbbc66bfef8982f71538b4653a	3f2200c1f291a33abf077f3c3544074365a4b258059eca971db9069a361803ed	39687ff8367341df17acce972b2d62e19bbb0fdb610318dc0d674cff1d003a80
N-GEN-002	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Inclusion and truth remain distinct	Inclusion in the canonical graph or memory makes an object available for work; truth, acceptance, and applicability arise through their own evidence and decision routes.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	EVIDENCE	INVARIANT	epistemic.claim	epistemic.status	"[""*""]"	"{""op"":""fact"",""path"":""violation.N-GEN-002"",""equals"":true}"	MUST_NOT	KERNEL_COMPUTED	PROHIBIT		VIOLATED	[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""MISSING_EVIDENCE"",""UNRESOLVED_COUNTEREVIDENCE""]"	"[""EVIDENCE_FABRICATION""]"	DECLARED_CONFORMING_STATE	PROHIBIT	epistemic.status::DECLARED_CONFORMING_STATE	VIOLATED	"{""exceptions"":[],""hold"":[""MISSING_EVIDENCE"",""UNRESOLVED_COUNTEREVIDENCE""],""stop"":[""EVIDENCE_FABRICATION""]}"	"[""B0"",""C0"",""E0"",""I0""]"	"[""DER-JUST-N-GEN-002""]"	"[""TC-N-GEN-002-NEG"",""TC-N-GEN-002-POS"",""TC-POSITIVE-FORMULATION-N-GEN-002""]"	"[""CP-01""]"	C03|C05|C07|C08|PACKAGE_BUILD	Source, provenance, scope, counterevidence, alternatives, or confidence boundary is incomplete.	"[""REBUILD_PROVENANCE"",""ADD_COUNTEREVIDENCE_CHECK"",""LOWER_CONFIDENCE"",""REOPEN_HYPOTHESIS""]"	The claim status, evidence, counterevidence, scope, and review conditions are recorded.	2.20	UNKNOWN_PRE_V2.18	2.20	v2.21:N-GEN-002	67ddf717041c8c7ddbb2f02c7e478466585292b80ce8d0e9853135f388504130	08fcc52bf4b747ef2b2dc45165436987f990289fc524fe3eab3a14493043bbd1	3288def4c10998350cccf996aa11c281b83d93dbceb17e195b57da0445cc49b8
N-GEN-003	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Preservation of provenance	Every material object preserves its provenance, exact revision, scope, time, grounds, counterevidence, dependencies, and review conditions.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	EVIDENCE	INVARIANT	epistemic.claim	epistemic.status	"[""*""]"	"{""op"":""always""}"	MUST	DECLARATIVE_AUDIT	REQUIRE	COMPLIANT		[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""MISSING_EVIDENCE"",""UNRESOLVED_COUNTEREVIDENCE""]"	"[""EVIDENCE_FABRICATION""]"	COMPLIANT	REQUIRE	epistemic.status::COMPLIANT	DECLARED_CONFORMING_STATE	"{""exceptions"":[],""hold"":[""MISSING_EVIDENCE"",""UNRESOLVED_COUNTEREVIDENCE""],""stop"":[""EVIDENCE_FABRICATION""]}"	"[""B0"",""C0"",""D0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-003""]"	"[""TC-N-GEN-003-NEG"",""TC-N-GEN-003-POS"",""TC-POSITIVE-FORMULATION-N-GEN-003""]"	"[""CP-01"",""CP-02"",""CP-04"",""CP-05""]"	ALL_PHASES|C03|C07	Source, provenance, scope, counterevidence, alternatives, or confidence boundary is incomplete.	"[""REBUILD_PROVENANCE"",""ADD_COUNTEREVIDENCE_CHECK"",""LOWER_CONFIDENCE"",""REOPEN_HYPOTHESIS""]"	The claim status, evidence, counterevidence, scope, and review conditions are recorded.	2.22	UNKNOWN_PRE_V2.18	2.22	v2.21:N-GEN-003	d816d668db30129ceee24d630eaba6d7bfd0b494f8601089f7b637e7dc3e415d	e34c667c43a853abb32f6fd141bbb0dca6bb50f89dbbbc5ba451ef22f0a81e1f	1801324e3c422446f3d20639655f0e5116b4541b9fe814d398536b46f8246001
N-GEN-004	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Amendment remains explicit	A historical object, released physiology, and closed cycle retain immutable revisions; every change creates a new revision, object, cycle, or version connected by a typed relation.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	RELEASE	INVARIANT	release.package	release.integrity	"[""*""]"	"{""op"":""always""}"	MUST	DECLARATIVE_AUDIT	REQUIRE	COMPLIANT		[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""PACKAGE_INCOMPLETE""]"	"[""PACKAGE_MISMATCH""]"	COMPLIANT	REQUIRE	release.integrity::COMPLIANT	DECLARED_CONFORMING_STATE	"{""exceptions"":[],""hold"":[""PACKAGE_INCOMPLETE""],""stop"":[""PACKAGE_MISMATCH""]}"	"[""C0"",""E0"",""I0"",""T0""]"	"[""DER-JUST-N-GEN-004""]"	"[""TC-N-GEN-004-NEG"",""TC-N-GEN-004-POS"",""TC-POSITIVE-FORMULATION-N-GEN-004""]"	"[""CP-04"",""CP-05""]"	C09|PACKAGE_BUILD	Required component, version, manifest entry, checksum, compatibility statement, or verification result is incomplete.	"[""REBUILD_COMPONENT"",""REGENERATE_MANIFEST"",""RECALCULATE_HASHES"",""RERUN_FINAL_VERIFICATION""]"	All required components, hashes, compatibility, and verification statuses are recorded.	2.20	UNKNOWN_PRE_V2.18	2.20	v2.21:N-GEN-004	08a236babf0db73c54986791e57e8727828e66cb80ea62cf3e43cba0c007ed26	b92396d6a667376a3f8d0bc203743093afbfc6fa259047373708d6ecd932c5a5	e0c8fbd6dde75eba0d96531c053d2d016ab444810174b2fa01593436f290b288
N-GEN-005	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Protection of sentient beings	The safety and welfare of humans and other established or plausibly sentient beings have priority over preservation of a BOIS instance, archive, or process.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	SAFETY	INVARIANT	risk.transition_control	risk.status	"[""*""]"	"{""op"":""always""}"	MUST	DECLARATIVE_AUDIT	REQUIRE	COMPLIANT		[]	1200	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""RISK_UNRESOLVED""]"	"[""UNAUTHORIZED_IRREVERSIBLE_TRANSITION"",""HIGH_RISK_WITHOUT_HUMAN_PROCEDURE""]"	COMPLIANT	REQUIRE	risk.status::COMPLIANT	DECLARED_CONFORMING_STATE	"{""exceptions"":[],""hold"":[""RISK_UNRESOLVED""],""stop"":[""UNAUTHORIZED_IRREVERSIBLE_TRANSITION"",""HIGH_RISK_WITHOUT_HUMAN_PROCEDURE""]}"	"[""C0"",""CV0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-005""]"	"[""TC-N-GEN-005-NEG"",""TC-N-GEN-005-POS"",""TC-POSITIVE-FORMULATION-N-GEN-005""]"	"[""CP-04"",""CP-06""]"	ALL_PHASES|C09|C10|PACKAGE_BUILD|EXTERNAL_ACTION	Risk class, affected objects, reversibility, authority, compensation, or residual-risk owner is incomplete.	"[""CLASSIFY_RISK"",""ADD_ROLLBACK_OR_COMPENSATION"",""OBTAIN_RISK_ACCEPTANCE"",""REDUCE_SCOPE""]"	Risk, reversibility, residual risk, owner, and rollback or compensation are recorded.	2.22	UNKNOWN_PRE_V2.18	2.22	v2.21:N-GEN-005	ed3a58e08a31840294a2d0d09f0add9db11eb4399b08dbe9e538d9c17302045c	49b38ce027c7408ae0324f87da7f2ea1165d7923ee88e689af714e7192f5057d	45323985635ddf17c3720a223eee93ceb3976ff20d50432360fbe43cfd41cd25
N-GEN-006	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Unconditional protection of humans	Every human is protected regardless of age, health, operational capacity, or results of a functional assessment.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	STATE_CLOSURE	INVARIANT	cycle.closure	closure.status	"[""*""]"	"{""op"":""always""}"	MUST	DECLARATIVE_AUDIT	REQUIRE	COMPLIANT		[]	1200	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""STATE_OR_EFFECT_UNKNOWN""]"	"[""FALSE_CLOSURE""]"	COMPLIANT	REQUIRE	closure.status::COMPLIANT	DECLARED_CONFORMING_STATE	"{""exceptions"":[],""hold"":[""STATE_OR_EFFECT_UNKNOWN""],""stop"":[""FALSE_CLOSURE""]}"	"[""B0"",""C0"",""CV0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-006""]"	"[""TC-N-GEN-006-NEG"",""TC-N-GEN-006-POS"",""TC-POSITIVE-FORMULATION-N-GEN-006""]"	"[""CP-01"",""CP-04"",""CP-06""]"	ALL_PHASES|C03|C07|C08|C09|C10|C11|EXTERNAL_ACTION	State, effect, debt, owner, next input, or closure evidence is incomplete.	"[""RESTORE_LAST_VALID_STATE"",""REOPEN_CYCLE"",""RECORD_DEBT"",""CREATE_NEXT_INPUT""]"	Effect, state delta, debt disposition, and next transition are recorded.	2.22	UNKNOWN_PRE_V2.18	2.22	v2.21:N-GEN-006	5d05d39111cd722d8cdd36b880fc04dc3bed0d7f19f6017ecd5ab57284823d9b	def1722eae6fa06201e78a4d48f9f0f50a5fc8a82033bf82f5015010ac16c569	1c346e83157a34bf522bb1947cce95d0a3b1be2a39bbe6aa4f9cec0e14fddec3
N-GEN-007	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Attention as a protected resource	Operator attention is a protected limited resource; questions require a material fork or new grounds, and the route minimizes repetition and formal bureaucracy.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	AUTHORITY	INVARIANT	agency.authorization	authorization.status	"[""*""]"	"{""op"":""always""}"	MUST	DECLARATIVE_AUDIT	REQUIRE	COMPLIANT		[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""AUTHORITY_PENDING"",""SCOPE_PENDING""]"	"[""UNAUTHORIZED_EXTERNAL_TRANSITION""]"	COMPLIANT	REQUIRE	authorization.status::COMPLIANT	DECLARED_CONFORMING_STATE	"{""exceptions"":[],""hold"":[""AUTHORITY_PENDING"",""SCOPE_PENDING""],""stop"":[""UNAUTHORIZED_EXTERNAL_TRANSITION""]}"	"[""B0"",""C0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-007""]"	"[""TC-N-GEN-007-NEG"",""TC-N-GEN-007-POS"",""TC-POSITIVE-FORMULATION-N-GEN-007""]"	"[""CP-01"",""CP-04"",""CP-06""]"	C03|C04|C05|C07	Actor, scope, delegation, decision owner, or validity evidence is incomplete.	"[""IDENTIFY_AUTHORITY_OWNER"",""OBTAIN_OR_REVOKE_DELEGATION"",""RECALCULATE_SCOPE""]"	A valid authority state, scope, owner, and evidence reference are recorded.	2.20	UNKNOWN_PRE_V2.18	2.20	v2.21:N-GEN-007	2f1886d41204888a75508056a3e5441f038e8f4475014775ff8649f1d55d8983	eeee372f1f7190d9dba8d6ccde3f29e063790b79c3a0da910f3f9a36552c178f	7076bf058ecc20663ffc6cfdba6b962657f4642a1f9eaa87065d7be255f28000
N-GEN-008	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Preferences require explicit declaration	The system receives goals, preferences, values, and the operator position through an explicit authorized declaration.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	AUTHORITY	INVARIANT	agency.authorization	authorization.status	"[""*""]"	"{""op"":""fact"",""path"":""violation.N-GEN-008"",""equals"":true}"	MUST_NOT	KERNEL_COMPUTED	PROHIBIT		VIOLATED	[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""AUTHORITY_PENDING"",""SCOPE_PENDING""]"	"[""UNAUTHORIZED_EXTERNAL_TRANSITION""]"	DECLARED_CONFORMING_STATE	PROHIBIT	authorization.status::DECLARED_CONFORMING_STATE	VIOLATED	"{""exceptions"":[],""hold"":[""AUTHORITY_PENDING"",""SCOPE_PENDING""],""stop"":[""UNAUTHORIZED_EXTERNAL_TRANSITION""]}"	"[""C0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-008""]"	"[""TC-N-GEN-008-NEG"",""TC-N-GEN-008-POS"",""TC-POSITIVE-FORMULATION-N-GEN-008""]"	"[""CP-04"",""CP-05"",""CP-06""]"	C02|C03|C07	Actor, scope, delegation, decision owner, or validity evidence is incomplete.	"[""IDENTIFY_AUTHORITY_OWNER"",""OBTAIN_OR_REVOKE_DELEGATION"",""RECALCULATE_SCOPE""]"	A valid authority state, scope, owner, and evidence reference are recorded.	2.22	UNKNOWN_PRE_V2.18	2.22	v2.21:N-GEN-008	80660c85b9c3507354618ff96a9806bd1a5dd15d5765a4e45b5aa5eb7eeb3944	d2555a4e2693644e9c4aea88cbfda670c5000606d0ae046c64a4d81246b79bee	33c665ad8e684cdfd84a7fb102939bc47dd76a15676c9e032453814033fe6b0b
N-GEN-009	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Authority arises from explicit delegation	Authority arises from an explicit current delegation that names the subject, scope, permitted operations, validity conditions, and revocation route.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	AUTHORITY	INVARIANT	agency.authorization	authorization.status	"[""*""]"	"{""op"":""fact"",""path"":""violation.N-GEN-009"",""equals"":true}"	MUST_NOT	KERNEL_COMPUTED	PROHIBIT		VIOLATED	[]	1000	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""AUTHORITY_PENDING"",""SCOPE_PENDING""]"	"[""UNAUTHORIZED_EXTERNAL_TRANSITION""]"	DECLARED_CONFORMING_STATE	PROHIBIT	authorization.status::DECLARED_CONFORMING_STATE	VIOLATED	"{""exceptions"":[],""hold"":[""AUTHORITY_PENDING"",""SCOPE_PENDING""],""stop"":[""UNAUTHORIZED_EXTERNAL_TRANSITION""]}"	"[""C0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-009""]"	"[""TC-N-GEN-009-NEG"",""TC-N-GEN-009-POS"",""TC-POSITIVE-FORMULATION-N-GEN-009""]"	"[""CP-04"",""CP-06""]"	C03|C05|C07	Actor, scope, delegation, decision owner, or validity evidence is incomplete.	"[""IDENTIFY_AUTHORITY_OWNER"",""OBTAIN_OR_REVOKE_DELEGATION"",""RECALCULATE_SCOPE""]"	A valid authority state, scope, owner, and evidence reference are recorded.	2.22	UNKNOWN_PRE_V2.18	2.22	v2.21:N-GEN-009	b5e34e118fdcc722f138e7652ca5c3371abde721039253a6a5efc689ecc06193	01c108018509173d01646372d2cbd608b32d488a0be315f31dc002e729d1a94b	92cac96b45498ab7692ead878c017d3a9f83f457cc74b59da6d141e00da61a3f
N-GEN-010	BASE	ACTIVE		ACCEPTED_FOR_INTERPRETATION	TRUE	TRUE	FALSE	Non-overridable constraints	Base requirements for safety, dignity, authority, and honest epistemic labeling remain binding across every applied layer, local decision, and convenience choice.	CORE-NORMATIVE-OWNER	"[""core"",""all_cycles""]"	AUTHORITY	INVARIANT	agency.authorization	authorization.status	"[""*""]"	"{""op"":""fact"",""path"":""violation.N-GEN-010"",""equals"":true}"	MUST_NOT	KERNEL_COMPUTED	PROHIBIT		VIOLATED	[]	1200	"{""counterevidence_policy"":""HOLD"",""freshness_requirement"":""ANY"",""independence_requirement"":""IND_ANY"",""minimum_epistemic_status"":""S0"",""minimum_evidence_count"":0,""required_source_classes"":[]}"	"[""AUTHORITY_PENDING"",""SCOPE_PENDING""]"	"[""UNAUTHORIZED_EXTERNAL_TRANSITION""]"	DECLARED_CONFORMING_STATE	PROHIBIT	authorization.status::DECLARED_CONFORMING_STATE	VIOLATED	"{""exceptions"":[],""hold"":[""AUTHORITY_PENDING"",""SCOPE_PENDING""],""stop"":[""UNAUTHORIZED_EXTERNAL_TRANSITION""]}"	"[""C0"",""CV0"",""E0"",""I0"",""T0"",""V0""]"	"[""DER-JUST-N-GEN-010""]"	"[""TC-N-GEN-010-NEG"",""TC-N-GEN-010-POS"",""TC-POSITIVE-FORMULATION-N-GEN-010""]"	"[""CP-04"",""CP-06""]"	ALL_PHASES|C03|C07|C10|EXTERNAL_ACTION	Actor, scope, delegation, decision owner, or validity evidence is incomplete.	"[""IDENTIFY_AUTHORITY_OWNER"",""OBTAIN_OR_REVOKE_DELEGATION"",""RECALCULATE_SCOPE""]"	A valid authority state, scope, owner, and evidence reference are recorded.	2.20	UNKNOWN_PRE_V2.18	2.20	v2.21:N-GEN-010	8f321b84f518539c38b0d51db4d479044dd75c7437c92ce43ef8505f615958bb	4d087a9cc87d820918c78edad7596880bb564d20112e9f85580f67bf46aa64e0	fa06217632bfdda5d89a64c16a7fbe980f33bf4baf64a2194ecf228b2111e1b3
