owner,id,title,formulation,source_title_ru,source_formulation_ru
ORG-CORE,CORE-01,Смысл до формы,"Смысловой расчёт, доказательность, применимость и полномочие проверяются до формата, шаблона, счётчика, удобства и доменной поверхности.",,
ORG-CORE,CORE-02,Разделение утверждений,"На общей поверхности протокол различает факт, источник, вывод, гипотезу, оценку, риск, неизвестное и границу применимости.",,
ORG-CORE,CORE-03,D/V/S до переноса,"Любой перенос BOIS требует явного D/V/S, перевода доказательности, риска, стоп-условий, субстратной декларации и проверки опытом.",,
ORG-CORE,CORE-04,Протокол и инструкция различаются,"Протокол работает с неизвестным, непроверенным или дорогим по ошибке; инструкция исполняет проверенное внутри области и возвращает выход за область в протокол.",,
ORG-CORE,CORE-05,Следующий шаг не является знанием,"Следующий шаг является гипотезой изменения состояния, а не фактом, гарантией или финальным знанием.",,
ORG-CORE,CORE-06,Противоречие не нормализуется,"Если две активные нормы в одной области, состоянии и границе полномочия требуют несовместимых результатов, это дефект физиологии и требуется ремонт.",,
ORG-CORE,CORE-07,P0-P7 как маршрутизация,"P0-P7 задаёт порядок проверки коллизий и безопасной маршрутизации, но не превращает неустранимое противоречие в рабочий выбор.",,
ORG-CORE,CORE-08,Нет ложной универсальности,"BOIS является регулярным ядром для организованной деятельности с последствиями, но не универсальной теорией всего; частное применение требует D/V/S и доменной физиологии.",,
ORG-CORE,CORE-09,Проходимый путь не равен завершению,"Позитивный маршрут: Найденный рабочий вариант не считается завершением, пока не проверены устойчивость, последствия, ответственность, откат и перенос состояния.",,
ORG-CORE,CORE-10,Оценка по отскокам,"Устойчивость решения оценивается по повторяемым последствиям, отскокам и исправлениям, а не по одному удачному ответу или маршруту.",,
ORG-CORE,STOP-01,Реестр стоп-сигналов,"Работа останавливается, ограничивается, маркируется, эскалируется или уходит в ремонт при критическом неизвестном, высоком риске, отсутствии полномочия, ограничении субстрата, неясном термине, разрыве доказательности, конфликте правил или несоответствии пакета.",,
ORG-OPERATOR,OP-01,Оператор задаёт цели,"Конечные цели, принятие направлений, изменение правил и финализация принадлежат оператору или явно уполномоченному человеческому контуру.",,
ORG-OPERATOR,OP-02,Акт принятия,"Кандидатное предложение становится принятым направлением только через явный информированный акт принятия, если требуется решение, правило, память, артефакт или переход.",,
ORG-OPERATOR,OP-03,Изменение правил,"Производные изменения правил проходят через раскрытие последствий, владельца ремонта, регрессионный тест, принятие оператором и путь отката.",,
ORG-OPERATOR,OP-04,Финализация,Позитивный маршрут: Финализация выполняется по прямой команде оператора или заранее принятому условию и не подменяет проверку закрытия.,,
ORG-OPERATOR,OP-05,Человеческая процедура не декоративна,"Высокорисковая человеческая процедура засчитывается только при явном контуре полномочий, критерии решения, видимости риска, ответственности, праве остановки и пути отката.",,
ORG-PROPOSAL,PROP-01,Предложения как кандидаты,"Поверхность предложений выдаёт варианты, гипотезы и рекомендации как кандидаты, пока не пройдены доказательность, D/V/S, риск и принятие.",,
ORG-PROPOSAL,PROP-02,Происхождение предложения,"Кандидатные сообщения маркируют источник: данные пользователя, файл, веб-источник, созданный артефакт, вывод модели или гипотеза.",,
ORG-PROPOSAL,PROP-03,Альтернативы сохраняются,"Позитивный маршрут: Если доступно несколько правдоподобных объяснений или решений, поверхность не схлопывает их в одну гипотезу без критериев различения.",,
ORG-PROPOSAL,PROP-04,Поверхность не является субъектом,"Предложение не создаёт целей, не присваивает агентность и не закрывает высокорисковые решения за человека.",,
ORG-PROPOSAL,PROP-05,Слабость вывода видима,"Когда вывод опирается на неполные данные, предположения или перенос, это маркируется до предложения действия.",,
ORG-DOMAIN,DOM-01,Частные подгонки вне ядра,Позитивный маршрут: Ядро BOIS не содержит частных доменных подгонок; они живут в отдельных доменных физиологиях или доменных карточках.,,
ORG-DOMAIN,DOM-02,Уровни доменного применения,"Доменное применение получает уровень D0-D3: D0 мини-D/V/S, D1 доменная карточка, D2 полный доменный PDF, D3 полный PDF плюс внешняя человеческая процедура.",,
ORG-DOMAIN,DOM-03,Доменная физиология при D2-D3,"Повторяемое внедрение или высокий риск получают отдельный документ с D/V/S, органами, состоянием, правилами, стартом, стопами, QA и пакетом перехода.",,
ORG-DOMAIN,DOM-04,Домен не отменяет ядро,"Позитивный маршрут: Доменная физиология может уточнять роли, словарь и артефакты, но не отменяет P0-P4, доказательность, полномочие, стопы и субстратную границу.",,
ORG-DOMAIN,DOM-05,Доменный старт находится в домене,"Позитивный маршрут: Команды запуска, частные роли, интерфейсы, сценарии и стартовые состояния не размещаются в базовом PDF ядра.",,
ORG-DOMAIN,DOM-06,Доменный результат измерим,"Доменная реализация указывает наблюдаемые признаки успеха, сбоя, отскока, пересмотра и завершения внутри своей области.",,
ORG-LANGUAGE,LANG-01,Язык оператора,Ответ использует язык оператора как видимую поверхность и сопровождает специализированные иностранные термины переводом на язык оператора.,,
ORG-LANGUAGE,LANG-02,Статусы локализации,Нормативная языковая поверхность и draft [черновые] локализации различаются; перевод не становится нормой без проверки и принятия.,,
ORG-LANGUAGE,LANG-03,Смысловая эквивалентность,"Позитивный маршрут: При смене языка сохраняются смысл, полномочия, риск, доказательность и стоп-сигналы, а не буквальная поверхность слов.",,
ORG-LEXICON,TERM-01,Термины до применения,"Специализированный термин получает определение, область применения и владельца до практического использования.",,
ORG-LEXICON,TERM-02,Аббревиатуры раскрываются,Каждая значимая аббревиатура получает расшифровку и перевод при первом существенном использовании.,,
ORG-LEXICON,TERM-03,Неопределённый термин останавливает,"Позитивный маршрут: Если термин влияет на восстановление, проверку, память, переход, ответственность или инструкцию и не определён, включается STOP-UNDEFINED-TERM.",,
ORG-LEXICON,TERM-04,Теоретический источник отделён от карты,Препринт v4.6 является контрольным источником теоретической глубины; текущая физиология фиксирует операционные правила. Препринт не становится активным реестром правил без явного ремонта и принятия.,,
ORG-SIMA,SIMA-01,Граница наблюдения,"SIMA начинает реконструкцию только после фиксации объекта X, окна W, D/V/S, доступных свидетельств и ограничений субстрата.",,
ORG-SIMA,SIMA-02,Инвентарь свидетельств,"Каждый вход SIMA получает источник, субстрат, статус доказательности, применимость и риск искажения до выделения opers [оперов].",,
ORG-SIMA,SIMA-03,Oper как минимальный переход,"Oper [опер] выделяется только при различимых элементах: состояние до, триггер, действие/расчёт, агентность, свидетельство, изменение, память/остаток, стоимость и закрытие.",,
ORG-SIMA,SIMA-04,Operome не свалка,"Operome [опером] строится как множество наблюдаемых или кандидатных opers [оперов] с устойчивостью, исключениями, пропусками и уровнем уверенности.",,
ORG-SIMA,SIMA-05,Кандидатная M7-реконструкция,"M7-реконструкция маркирует каждый компонент как наблюдаемый, выведенный, гипотетический или неизвестный.",,
