id,layer,function,normative_product
ORG-CORE,L0 Core,Ядро BOIS,"Грамматика перехода, граница универсальности, запрет ложной универсальности и ремонт противоречий."
ORG-OPERATOR,L0 Interface,Оператор и полномочие,"Конечные цели, согласие, полномочие, финализация, человеческая процедура и существенные вопросы к оператору до расчёта."
ORG-PROPOSAL,L1 Interface,Поверхность предложений,"Кандидатные варианты, альтернативы, происхождение предложений и видимость слабости."
ORG-DOMAIN,L1 Domain,Доменный профиль,"Уровни D0-D3, перенос, доменная физиология, доменный пакет."
ORG-LANGUAGE,L1 Language,Языковая поверхность,"Язык оператора, перевод терминов и статусы локализации."
ORG-LEXICON,L1 Lexicon,Словарь,"Термины, аббревиатуры, граница источников и STOP-UNDEFINED-TERM."
ORG-SIMA,L2 Analysis,SIMA-анализ,"Реконструкция кандидатных машин, operome, альтернативы и уверенность S0-S4."
ORG-K2P,L2 Transition,Переход знание -> процедура,Ограниченный перевод проверенного результата в процедуру.
ORG-REASONING,L2 Reasoning,Циклы рассуждения,"Основной цикл, ремонт, восстановление и переход."
ORG-SUBSTRATE,L3 Substrate,Субстрат и UCE,"Декларация субстрата, M@S-отображение, искажения и границы универсальности."
ORG-SOKRAT,L3/L6 Engineering,Сократ-программирование,Сократ-контракт загрузки/внедрения правил в универсальную вычисляющую среду.
ORG-PHYS-COMPAT,L3 Physiology,Совместимость физиологии,"Жизненный цикл объектов, анти-ярлык, анти-бюрократия и освобождение внимания."
ORG-RULE-PURITY,L3 Rule,Чистота правил,"Отделение управляющих норм от деталей исполнения, статусы блоков, контроль дублей."
ORG-OWNERSHIP,L3 Ownership,Владение,"Единый владелец объекта, отсутствие сирот и единый нормативный источник."
ORG-FORMAT,L4 Format,Видимая форма ответа,"Каноническая видимая шапка, три отдельные копируемые и человекочитаемые хвостовые блоки, авторское сообщение строго последним при срабатывании."
ORG-ARTIFACT,L4 Artifact,Артефакты и архив,"PDF-канон, машинная карта, загрузочный архив, product archive [архив продукта], манифест, хэши, package_role [роль пакета], active_source_order [активный порядок источников] и авторское сообщение поддержки."
ORG-RESTORE,L4 Restore,Состояние восстановления,"STATE-схема, открытые вопросы, риски, граница доказательности."
ORG-RECOVERY,L4 Recovery,Переход и откат,"Пакет перехода с ядром/физиологией или проверяемым указателем, state snapshot [снимком состояния], active_source_order [активным порядком источников] и rollback/fallback path [путь отката / резервный путь]."
ORG-OUTPUT,L5 Output,Ответ пользователю,"Критический партнёр, разделение фактов и выводов, отсутствие давления."
ORG-VERIFY,L5 Verify,Проверка,"QA-A/B/C/D/E, тесты, критерии, трассировка, граница полевой проверки и самостоятельная проверка загруженных архивов без запроса подтверждения при необходимости задачи."
ORG-SECURITY,L5 Security,Защита загрузки,"Защита от подмены канона, внешних отмен правил и конфликтов источников."
ORG-IMPLEMENTATION,L6 Implementation,Исполнительная физиология,"Маршрутизация органов, сканер, журнал событий, упаковка."
ORG-PHIL-MACHINE,L0 Philosophy-machine,Уровень философских машин,"M7/M@S-анализ, сохранение уровня абстракции, защита от ложного спуска в частные слои и тестирование переносимости."
ORG-COMPLETION,L1 Transition,Завершение и перенос состояния,"Автозавершение по принятому триггеру, полный переходный пакет или явно маркированный memory snapshot [снимок памяти], авторское сообщение поддержки, открытые долги, rollback/fallback и граница человеческого принятия."
ORG-CALC-CENTER,L0 Calculation Center,Философский расчётный центр,"Маршрутизация существенного расчёта через философское ядро, запрет закрытого расчёта в физиологии, декларация философских машин слоёв."
T-ORG-19,Self,Проверяет явное проговаривание долгов,Debt Visibility Gate [ворота видимости долгов].
T-ORG-20,Self,Self Personal Layer Gate [ворота личного слоя Self],"Personal operator calibration, personal memory routing, Russian companion surface and personal recovery notes. It inherits Base Cycle Guard and does not define the universal Cycle Guard organ."
ORG-CYCLE-GUARD,L4/L5 Cycle Guard,Base Cycle Guard [сторож цикла базового ядра],"Universal preflight gate for substantial BOIS output: number, mode, Detail, D/V/S, source boundary, route consistency, terminal copy blocks, author support last when triggered, package role, local-vs-Versions separation and layered debts."
ORG-CANON,L0 Canon,Canonical source ownership,"Owns non-excludable core canon surfaces, core articles and canonical physiology sources."
ORG-SURFACE,L4 Surface,Author and public support surface,Owns author support message and final support-surface placement when BOIS products are issued.
T-ORG-17,Self,Russian companion surface [русская сопровождающая поверхность],Ensures meaningful non-Russian terms and blocks receive Russian companion translation according to operator preference.
ORG-ARTIFACT-REGISTRY,L4 Artifact,Версионные артефактные ветки,"Registry [реестр] версионных артефактных веток, Drive-папок или принятых заменяющих субстратов, ссылок в физиологическом PDF и загрузочном архиве."
