id,owner,term_ru,term_en,definition
TERMDEF-BOIS,ORG-LEXICON,BOIS,Business Operational Intelligence System [бизнес-операционная интеллектуальная система],"Регулярная грамматика перехода для organized consequential activity [организованной деятельности с последствиями] при неполном знании. Не является универсальной теорией всего, частным доменным профилем или полевой валидацией."
TERMDEF-BUSINESS,ORG-LEXICON,Business в BOIS/BORIS,organized consequential activity [организованная деятельность с последствиями],"Внутренний широкий смысл слова business: структурированное дело с целями, ролями, памятью, стоимостью, обратной связью, ответственностью и ремонтом. Не сводится к коммерческой фирме и не растягивается на всё без D/V/S."
TERMDEF-SIMA,ORG-LEXICON,SIMA,Substrate-Independent Machine Analyzer [субстрато-независимый машинный анализатор],"Аналитический слой, восстанавливающий кандидатные философские машины по наблюдаемой субстратной физиологии. SIMA не является ядром и не доказывает эмпирическую валидность BOIS."
TERMDEF-BORIS,ORG-LEXICON,BORIS,Rational Operational-Intelligence System of Business [рациональная операционно-интеллектуальная система бизнеса],"Внедряющий слой BOIS: превращает грамматику BOIS в узкую доменную физиологию, проверяемую опытом. BORIS не является вторым ядром."
TERMDEF-SOKRAT,ORG-LEXICON,Сократ,Sokrat rule programming [правиловое программирование Сократ],"Инженерный подход к программированию универсальных вычисляющих сред через загружаемые или внедряемые правила, термины, стопы, процедуры, тесты, владельцев, D/V/S, состояние и пакеты перехода. Не является наукой, картиной мира, субъектом или доказательством истины."
TERMDEF-PHILOSOPHICAL-MACHINE,ORG-LEXICON,Философская машина,Philosophical machine [философская машина],"Проверяемая архитектура исследования и действия: она задаёт онтологию, доказательность, агентность, ценностный интерфейс, модель риска, правило закрытия и правило перехода."
TERMDEF-CALCULATION,ORG-LEXICON,Расчёт,Calculation [расчёт],"Воспроизводимое преобразование различимых состояний через операции, ограничения, память/след, стоимость и обратную связь. Расчёт может быть цифровым, биологическим, институциональным или гибридным; он не равен только арифметике и не требует сознания."
TERMDEF-COMPUTING-ENV,ORG-LEXICON,Вычисляющая среда,Computing environment [вычисляющая среда],"Субстрат или совокупность субстратов с состояниями, каналами, допустимыми операциями, памятью/следом, стоимостью, ошибками и механизмами обратной связи, способная исполнять расчёт."
TERMDEF-UCE,ORG-LEXICON,Универсальная вычисляющая среда,"Universal Computing Environment, UCE [универсальная вычисляющая среда]","Вычисляющая среда с достаточной выразительной ёмкостью для настройки и исполнения нескольких различных архитектур исследования и действия, включая M=<O,E,A,V,R,C,T>. Универсальность относительна объявленному классу машин и ограничениям субстрата; это не означает способность вычислять всё и не означает, что среда обязательно является ИИ."
TERMDEF-DVS,ORG-LEXICON,D/V/S,Domain / Value interface / Substrate [область / ценностный интерфейс / субстрат],"Трёхчастная рамка применимости: где действует система; какие цели, ограничения, риск и запрещённые потери допустимы; на чём машина исполняется, доказывается и искажается."
TERMDEF-M7,ORG-LEXICON,M7,"<O,E,A,V,R,C,T>","Минимальная запись философской машины: ontology [онтология], epistemology [эпистемология], agency [агентность], value interface [ценностный интерфейс], risk model [модель риска], closure rule [правило закрытия], transition rule [правило перехода]."
TERMDEF-MATS,ORG-LEXICON,M@S,Machine at substrate [машина на субстрате],"Машина M, исполненная на субстрате S. Проект неполон без объявления носителя, каналов, памяти, стоимости, искажений, режима отказа и ремонта."
TERMDEF-SUBSTRATE,ORG-LEXICON,Субстрат,Substrate [субстрат],"То, что запускает машину: тело, группа, институт, software workflow [программный рабочий процесс], ИИ-система, сеть сенсоров, роботический рой или гибридная экология."
TERMDEF-PROTOCOL,ORG-LEXICON,Протокол,Protocol [протокол],"Воспроизводимая работа с неизвестным, непроверенным или дорогим по ошибке."
TERMDEF-INSTRUCTION,ORG-LEXICON,Инструкция,Instruction [инструкция],"Исполнение достаточно проверенного внутри заданной области со стоп-сигналами, путём возврата в протокол и условием пересмотра опытом."
TERMDEF-EXPERIENCE,ORG-LEXICON,Опыт,Experience [опыт],"Действие, наблюдение, обратная связь, отбор и обновление; только такой цикл пересматривает инструкцию или подтверждает доменную физиологию."
TERMDEF-PHYS,ORG-LEXICON,Физиология,Physiology [физиология],"Органы, правила, процедуры, тесты, журналы, пакеты и артефакты, которые освобождают внимание, снижают переделки, сохраняют ответственность и возвращают опыт в улучшенные рутины."
TERMDEF-DOMAIN-PHYS,ORG-LEXICON,Доменная физиология,Domain physiology [доменная физиология],Частная реализация BOIS для конкретной области. На уровнях D2-D3 оформляется отдельным физиологическим документом и загрузочным архивом.
TERMDEF-SOKRAT-LOAD-ARCHIVE,ORG-LEXICON,Загрузочный архив,Sokrat load archive [загрузочный архив Сократ],"Единый ZIP-архив, который является загрузочным документом для цифровой среды. Внутри него PDF остаётся человекочитаемой канонической поверхностью, а JSON/CSV/README являются производными загрузочными представлениями."
TERMDEF-MACHINE-MAP,ORG-LEXICON,Машинная карта,Machine-readable map [машиночитаемая карта],"Производный JSON/CSV-реестр правил, терминов, стопов, процедур, тестов, версий и хэшей. Не создаёт вторую норму без совпадения с PDF и манифестом."
TERMDEF-PDF-CANON,ORG-LEXICON,PDF-канон,Human-readable PDF canon [человекочитаемый PDF-канон],Видимая нормативная поверхность для человека. В этой сборке PDF является источником активных формулировок правил; архив является контейнером загрузки.
TERMDEF-HUMAN-PROCEDURE,ORG-LEXICON,Человеческая процедура,Human accountable procedure [подотчётная человеческая процедура],"Явный процесс с компетентным человеком или уполномоченным контуром, областью полномочий, критерием решения, записью ответственности, правом остановки и путём отката."
TERMDEF-S0S4,ORG-LEXICON,S0-S4,SIMA confidence scale [шкала уверенности SIMA],S0 - свидетельств недостаточно; S1 - слабая гипотеза; S2 - повторяемость внутри окна W; S3 - проверены основные альтернативы и исключения; S4 - есть внешняя или независимая проверка вне исходного окна.
TERMDEF-OPERATOR,ORG-LEXICON,Оператор,Operator [оператор],"Человек или уполномоченный контур, задающий конечные цели, согласие, принятие, изменение правил и финализацию."
TERMDEF-EVIDENCE,ORG-LEXICON,Граница доказательности,Evidence boundary [граница доказательности],"Различение факта, источника, вывода, гипотезы, оценки, неизвестного, риска и непроверенного."
TERMDEF-APPLICABILITY,ORG-LEXICON,Применимость,Applicability [применимость],"Условия, в которых утверждение, инструкция, процедура или артефакт действуют."
TERMDEF-STOP,ORG-LEXICON,Стоп-сигнал,Stop signal [стоп-сигнал],"Условие остановки, эскалации, возврата в протокол, безопасного частичного ответа или ремонта физиологии."
TERMDEF-STOP-SEVERITY,ORG-LEXICON,Тяжесть стопа,Stop severity [тяжесть стопа],"Класс реакции на стоп: S-BLOCK [блокировка], S-LIMIT [ограниченный ответ], S-MARK [маркировка], S-ESCALATE [эскалация], S-REPAIR [ремонт]."
TERMDEF-ROLLBACK,ORG-LEXICON,Откат,Rollback [откат],Путь возврата к последнему безопасному состоянию.
TERMDEF-MANIFEST,ORG-LEXICON,Манифест,Manifest [манифест],"Список состава архива, версий, контрольных сумм, проверок, исключений и отката."
