migration_entry_id	object_kind	old_id	new_id	old_path	new_path	disposition	formulation_changed	machine_semantics_changed	phase_changed	reference_changed	retest_scope
MIG-223-001	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-001	F-222-001	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	SCHEMA_META_VALIDITY
MIG-223-002	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-002	F-222-002	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	REFERENCE_INDEX_ROWS
MIG-223-003	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-003	F-222-003	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	VALIDATION_CONTRACT_IDENTITY
MIG-223-004	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-004	F-222-004	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	TEST_BINDING_CLOSURE
MIG-223-005	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-005	F-222-005	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	CLARIFIED	NO	YES	RUNTIME_PROFILE_COMPLETE
MIG-223-006	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-006	F-222-006	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	CLARIFIED	NO	YES	FOUNDATION_DEPENDENCY_ACYCLIC
MIG-223-007	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-007	F-222-007	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	PROVENANCE_BOUNDARY
MIG-223-008	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-008	F-222-008	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	SINGLE_ARCHIVE_TRANSPORT
MIG-223-009	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-009	F-222-009	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	FULL_STATIC_TEST_EXECUTION
MIG-223-010	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-010	F-222-010	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	JUSTIFICATION_GRAPH_CLOSURE
MIG-223-011	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-011	F-222-011	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	PACKAGE_WIDE_REFERENCE_CLOSURE
MIG-223-012	DERIVED_PROJECTION_OR_RELEASE_ENVELOPE	F-222-012	F-222-012	v2.22 package	v2.23 package	REPAIRED_NO_NORMATIVE_FORMULATION_CHANGE	NO	NO	NO	YES	REFERENCE_INDEX_ROWS
